V1,SessionIDnumber,DentistIDnumber,ConditionGender,ConditionRace,SpoketoSomeoneYN,SpoketoSomeoneabletodecideYN,Genderofpersonspokento,DonationYNfromPhone,Lengthofcall,ConditionRace0M1F,ConditionGender0W1L,FemaleD,MaleD,HispanicD,WhiteD,ConditionRace.f_NA,ConditionRace.f,ConditionGender.f,ConditionRG,InteractionRG,PrimaryLastTooth,filter_$
3,103.2,103,1,2,1,1,1,0,3.819444444,1,0,1,0,0,1,0,2,1,4,0,1,0
12,111.5,111,1,2,2,NA,NA,#NULL!,0,1,0,1,0,0,1,0,2,1,4,0,1,0
22,119.5,119,1,1,1,2,1,0,0.117361111,1,1,1,0,1,0,0,1,1,3,1,1,0
30,122.6,122,2,2,#NULL!,1,1,1,7.083333333,0,0,0,1,0,1,0,2,2,8,0,1,1
34,125.3,125,1,1,2,2,NA,#NULL!,NA,1,1,1,0,1,0,0,1,1,3,1,1,0
41,129.4,129,1,1,1,2,1,#NULL!,5.555555556,1,1,1,0,1,0,0,1,1,3,1,1,0
50,135.5,135,1,1,1,2,1,0,3.888888889,1,1,1,0,1,0,0,1,1,3,1,1,0
54,137.3,137,1,2,#NULL!,NA,1,0,2.361111111,1,0,1,0,0,1,0,2,1,4,0,1,0
57,138.2,138,2,2,1,NA,NA,0,2.986111111,0,0,0,1,0,1,0,2,2,8,0,1,1
60,143.2,143,1,1,1,1,1,0,2.916666667,1,1,1,0,1,0,0,1,1,3,1,1,0
64,146.2,146,2,1,1,1,NA,1,7.083333333,0,1,0,1,1,0,0,1,2,6,0,1,1
66,147.2,147,2,1,1,1,1,1,4.791666667,0,1,0,1,1,0,0,1,2,6,0,1,1
70,151.3,151,1,2,1,1,1,1,0.127083333,1,0,1,0,0,1,0,2,1,4,0,1,0
75,153.4,153,1,1,1,1,1,0,NA,1,1,1,0,1,0,0,1,1,3,1,1,0
80,154.5,154,2,1,1,1,1,0,9.652777778,0,1,0,1,1,0,0,1,2,6,0,1,1
87,159.4,159,1,1,1,1,1,0,2.222222222,1,1,1,0,1,0,0,1,1,3,1,1,0
92,163.2,163,2,2,2,NA,NA,#NULL!,1.319444444,0,0,0,1,0,1,0,2,2,8,0,1,1
99,169.3,169,1,1,1,2,1,0,3.194444444,1,1,1,0,1,0,0,1,1,3,1,1,0
107,170.8,170,2,1,1,2,1,#NULL!,5.486111111,0,1,0,1,1,0,0,1,2,6,0,1,1
113,175.4,175,1,1,1,2,2,0,8.333333333,1,1,1,0,1,0,0,1,1,3,1,1,0
116,177.2,177,1,2,1,1,1,0,4.375,1,0,1,0,0,1,0,2,1,4,0,1,0
118,178.1,178,2,2,1,NA,NA,0,3.819444444,0,0,0,1,0,1,0,2,2,8,0,1,1
122,183.2,183,1,2,1,1,1,0,2.291666667,1,0,1,0,0,1,0,2,1,4,0,1,0
128,185.5,185,1,2,1,2,1,#NULL!,4.722222222,1,0,1,0,0,1,0,2,1,4,0,1,0
136,194.4,194,1,1,1,1,1,1,1.25,1,1,1,0,1,0,0,1,1,3,1,1,0
141,195.5,195,2,2,1,NA,NA,0,4.097222222,0,0,0,1,0,1,0,2,2,8,0,1,1
145,202.2,202,1,1,#NULL!,NA,NA,#NULL!,0,1,1,1,0,1,0,0,1,1,3,1,1,0
148,203.3,203,2,1,1,NA,NA,0,3.130000000000,0,1,0,1,1,0,0,1,2,6,0,1,1
155,214.2,214,1,2,2,2,NA,#NULL!,NA,1,0,1,0,0,1,0,2,1,4,0,1,0
159,216.3,216,1,2,1,2,1,0,4.930555556,1,0,1,0,0,1,0,2,1,4,0,1,0
163,218.4,218,1,1,1,2,1,#NULL!,3.194444444,1,1,1,0,1,0,0,1,1,3,1,1,0
165,219.2,219,2,1,1,2,NA,#NULL!,8.680555556,0,1,0,1,1,0,0,1,2,6,0,1,1
169,224.2,224,1,2,1,1,1,1,0.206944444,1,0,1,0,0,1,0,2,1,4,0,1,0
172,227.2,227,2,1,1,1,NA,1,6.597222222,0,1,0,1,1,0,0,1,2,6,0,1,1
181,234.7,234,1,1,1,1,1,0,2.916666667,1,1,1,0,1,0,0,1,1,3,1,1,0
189,240.5,240,1,2,1,2,1,0,4.791666667,1,0,1,0,0,1,0,2,1,4,0,1,0
195,248.2,248,1,2,1,1,1,0,0.111805556,1,0,1,0,0,1,0,2,1,4,0,1,0
200,251.4,251,2,1,1,1,1,0,3.888888889,0,1,0,1,1,0,0,1,2,6,0,1,1
203,256.2,256,1,1,1,1,1,0,2.013888889,1,1,1,0,1,0,0,1,1,3,1,1,0
209,264.2,264,1,2,1,2,1,0,5.138888889,1,0,1,0,0,1,0,2,1,4,0,1,0
212,266.3,266,1,1,1,1,NA,0,NA,1,1,1,0,1,0,0,1,1,3,1,1,0
219,272.4,272,1,2,1,2,1,0,1.458333333,1,0,1,0,0,1,0,2,1,4,0,1,0
221,274.2,274,1,2,1,1,1,1,6.875,1,0,1,0,0,1,0,2,1,4,0,1,0
226,275.5,275,2,1,1,1,1,1,3.75,0,1,0,1,1,0,0,1,2,6,0,1,1
228,278.2,278,1,2,1,2,1,0,0.578472222,1,0,1,0,0,1,0,2,1,4,0,1,0
235,282.5,282,1,1,2,NA,NA,#NULL!,0,1,1,1,0,1,0,0,1,1,3,1,1,0
240,283.5,283,2,2,2,NA,NA,#NULL!,0,0,0,0,1,0,1,0,2,2,8,0,1,1
245,288.3,288,1,1,1,1,1,0,7.291666667,1,1,1,0,1,0,0,1,1,3,1,1,0
250,290.3,290,1,2,2,NA,NA,#NULL!,0,1,0,1,0,0,1,0,2,1,4,0,1,0
259,301.3,301,2,1,1,NA,NA,0,3.263888889,0,1,0,1,1,0,0,1,2,6,0,1,1
264,302.4,302,2,1,2,NA,NA,#NULL!,0,0,1,0,1,1,0,0,1,2,6,0,1,1
268,303.4,303,1,2,1,1,1,0,3.194444444,1,0,1,0,0,1,0,2,1,4,0,1,0
271,304.3,304,1,1,1,1,1,0,7.708333333,1,1,1,0,1,0,0,1,1,3,1,1,0
274,305.3,305,1,1,1,1,NA,0,NA,1,1,1,0,1,0,0,1,1,3,1,1,0
276,306.2,306,1,1,1,2,1,#NULL!,5.277777778,1,1,1,0,1,0,0,1,1,3,1,1,0
279,308.2,308,2,1,1,1,1,1,0.224305556,0,1,0,1,1,0,0,1,2,6,0,1,1
281,309.2,309,1,1,1,2,2,0,0.105555556,1,1,1,0,1,0,0,1,1,3,1,1,0
284,311.2,311,1,2,1,1,1,0,7.430555556,1,0,1,0,0,1,0,2,1,4,0,1,0
286,312.2,312,1,2,1,2,1,0,4.652777778,1,0,1,0,0,1,0,2,1,4,0,1,0
289,313.3,313,1,1,1,1,1,1,7.013888889,1,1,1,0,1,0,0,1,1,3,1,1,0
291,314.2,314,1,1,1,1,1,1,0.101388889,1,1,1,0,1,0,0,1,1,3,1,1,0
295,316.3,316,1,2,1,1,NA,0,0.116666667,1,0,1,0,0,1,0,2,1,4,0,1,0
297,317.2,317,1,1,1,1,1,0,3.819444444,1,1,1,0,1,0,0,1,1,3,1,1,0
300,319.3,319,1,1,1,2,1,#NULL!,1.527777778,1,1,1,0,1,0,0,1,1,3,1,1,0
302,320.2,320,1,1,1,2,1,0,4.861111111,1,1,1,0,1,0,0,1,1,3,1,1,0
308,321.4,321,1,2,1,2,1,0,4.305555556,1,0,1,0,0,1,0,2,1,4,0,1,0
311,322.3,322,1,1,1,2,1,#NULL!,5.902777778,1,1,1,0,1,0,0,1,1,3,1,1,0
314,325.1,324,1,1,1,2,1,#NULL!,5.069444444,1,1,1,0,1,0,0,1,1,3,1,1,0
318,325.5,325,1,1,1,1,NA,1,0.148611111,1,1,1,0,1,0,0,1,1,3,1,1,0
321,326.3,326,1,1,1,2,1,#NULL!,3.194444444,1,1,1,0,1,0,0,1,1,3,1,1,0
327,331.2,331,1,1,1,2,1,#NULL!,0.05,1,1,1,0,1,0,0,1,1,3,1,1,0
1,101.1,101,1,1,1,NA,1,0,0.136805556,1,1,1,0,1,0,0,1,1,3,1,1,0
4,104.0,104,1,2,2,2,NA,#NULL!,NA,1,0,1,0,0,1,0,2,1,4,0,1,0
5,105.1,105,1,2,1,1,1,#NULL!,6.458333333,1,0,1,0,0,1,0,2,1,4,0,1,0
6,106.1,106,2,1,1,1,1,0,3.194444444,0,1,0,1,1,0,0,1,2,6,0,1,1
7,109.1,109,1,1,1,2,1,0,5.833333333,1,1,1,0,1,0,0,1,1,3,1,1,0
13,112.0,112,1,1,1,1,1,1,60 sec,1,1,1,0,1,0,0,1,1,3,1,1,0
14,113.1,113,1,1,1,1,1,0,3.194444444,1,1,1,0,1,0,0,1,1,3,1,1,0
15,114.1,114,2,2,1,1,NA,0,4.305555556,0,0,0,1,0,1,0,2,2,8,0,1,1
16,115.1,115,2,2,2,2,NA,#NULL!,1.111111111,0,0,0,1,0,1,0,2,2,8,0,1,1
17,118.1,118,2,1,1,1,1,0,5.833333333,0,1,0,1,1,0,0,1,2,6,0,1,1
23,120.0,120,1,2,1,2,NA,0,43 sec,1,0,1,0,0,1,0,2,1,4,0,1,0
24,121.1,121,1,2,1,1,1,0,2.916666667,1,0,1,0,0,1,0,2,1,4,0,1,0
31,123.1,123,2,2,1,2,1,0,7.847222222,0,0,0,1,0,1,0,2,2,8,0,1,1
35,126.1,126,2,1,1,2,1,#NULL!,7.222222222,0,1,0,1,1,0,0,1,2,6,0,1,1
36,127.1,127,1,1,1,2,2,0,2.986111111,1,1,1,0,1,0,0,1,1,3,1,1,0
37,128.0,128,1,1,1,2,NA,#NULL!,58 sec,1,1,1,0,1,0,0,1,1,3,1,1,0
42,130.1,130,2,2,1,1,1,1,0.184027778,0,0,0,1,0,1,0,2,2,8,0,1,1
43,131.1,131,2,1,1,NA,1,0,3.055555556,0,1,0,1,1,0,0,1,2,6,0,1,1
44,133.1,133,1,1,1,1,1,1,9.166666667,1,1,1,0,1,0,0,1,1,3,1,1,0
45,134.1,134,2,1,1,1,1,0,2.847222222,0,1,0,1,1,0,0,1,2,6,0,1,1
51,136.0,136,1,2,1,2,NA,0,2 min,1,0,1,0,0,1,0,2,1,4,0,1,0
58,141.1,141,1,1,1,2,1,0,3.130000000000,1,1,1,0,1,0,0,1,1,3,1,1,0
61,144.0,144,1,1,#NULL!,NA,NA,0,NA,1,1,1,0,1,0,0,1,1,3,1,1,0
62,145.1,145,1,2,1,1,1,1,0.198611111,1,0,1,0,0,1,0,2,1,4,0,1,0
67,150.1,150,2,2,1,2,1,#NULL!,5.347222222,0,0,0,1,0,1,0,2,2,8,0,1,1
71,152.0,152,1,2,1,2,NA,#NULL!,1 min,1,0,1,0,0,1,0,2,1,4,0,1,0
81,155.1,155,2,2,1,2,1,0,4.861111111,0,0,0,1,0,1,0,2,2,8,0,1,1
82,157.1,157,1,1,1,1,1,0,3.472222222,1,1,1,0,1,0,0,1,1,3,1,1,0
83,158.1,158,2,2,2,2,NA,#NULL!,0,0,0,0,1,0,1,0,2,2,8,0,1,1
88,160.0,160,1,1,#NULL!,NA,NA,0,NA,1,1,1,0,1,0,0,1,1,3,1,1,0
89,161.1,161,1,1,1,1,1,0,0.138194444,1,1,1,0,1,0,0,1,1,3,1,1,0
90,162.1,162,2,1,1,1,1,1,7.569444444,0,1,0,1,1,0,0,1,2,6,0,1,1
93,165.1,165,1,1,2,2,NA,#NULL!,NA,1,1,1,0,1,0,0,1,1,3,1,1,0
94,166.1,166,2,2,1,1,1,1,0.119444444,0,0,0,1,0,1,0,2,2,8,0,1,1
95,167.1,167,1,1,1,1,1,0,2.083333333,1,1,1,0,1,0,0,1,1,3,1,1,0
96,168.0,168,1,2,1,2,NA,0,55 sec,1,0,1,0,0,1,0,2,1,4,0,1,0
108,173.1,173,1,2,1,NA,1,0,2.986111111,1,0,1,0,0,1,0,2,1,4,0,1,0
109,174.1,174,2,2,1,2,1,#NULL!,4.652777778,0,0,0,1,0,1,0,2,2,8,0,1,1
114,176.0,176,1,1,1,2,NA,0,NA,1,1,1,0,1,0,0,1,1,3,1,1,0
119,181.1,181,1,1,1,2,1,0,0.152083333,1,1,1,0,1,0,0,1,1,3,1,1,0
120,182.1,182,2,2,1,2,1,#NULL!,2.986111111,0,0,0,1,0,1,0,2,2,8,0,1,1
130,189.1,189,1,1,1,1,2,1,5.069444444,1,1,1,0,1,0,0,1,1,3,1,1,0
131,190.1,190,2,1,1,2,1,#NULL!,4.166666667,0,1,0,1,1,0,0,1,2,6,0,1,1
132,191.1,191,1,1,1,1,1,1,0.109722222,1,1,1,0,1,0,0,1,1,3,1,1,0
142,199.1,199,2,1,2,2,NA,#NULL!,0,0,1,0,1,1,0,0,1,2,6,0,1,1
143,200.1,200,1,2,2,NA,NA,#NULL!,0,1,0,1,0,0,1,0,2,1,4,0,1,0
149,206.1,206,1,2,1,1,1,0,2.708333333,1,0,1,0,0,1,0,2,1,4,0,1,0
150,207.1,207,2,1,1,1,1,0,2.083333333,0,1,0,1,1,0,0,1,2,6,0,1,1
151,208.1,208,1,1,2,NA,NA,#NULL!,0,1,1,1,0,1,0,0,1,1,3,1,1,0
152,210.1,210,1,2,1,NA,1,0,2.222222222,1,0,1,0,0,1,0,2,1,4,0,1,0
153,211.1,211,2,1,2,NA,NA,#NULL!,0,0,1,0,1,1,0,0,1,2,6,0,1,1
156,215.1,215,2,1,1,1,2,1,0.238194444,0,1,0,1,1,0,0,1,2,6,0,1,1
166,222.1,222,1,2,1,NA,1,0,3.75,1,0,1,0,0,1,0,2,1,4,0,1,0
167,223.1,223,2,1,1,1,1,0,0.207638889,0,1,0,1,1,0,0,1,2,6,0,1,1
170,226.1,226,1,2,1,1,1,0,2.5,1,0,1,0,0,1,0,2,1,4,0,1,0
173,231.1,231,2,2,2,2,NA,#NULL!,0,0,0,0,1,0,1,0,2,2,8,0,1,1
174,232.1,232,1,1,1,2,NA,#NULL!,4.444444444,1,1,1,0,1,0,0,1,1,3,1,1,0
182,235.1,235,2,2,1,NA,NA,0,2.569444444,0,0,0,1,0,1,0,2,2,8,0,1,1
183,239.1,239,2,2,1,1,1,#NULL!,2.847222222,0,0,0,1,0,1,0,2,2,8,0,1,1
190,242.1,242,1,1,1,2,1,#NULL!,3.611111111,1,1,1,0,1,0,0,1,1,3,1,1,0
191,243.1,243,2,2,1,2,NA,0,6.875,0,0,0,1,0,1,0,2,2,8,0,1,1
192,246.1,246,1,2,1,2,1,0,3.888888889,1,0,1,0,0,1,0,2,1,4,0,1,0
193,247.1,247,2,2,1,2,1,#NULL!,6.666666667,0,0,0,1,0,1,0,2,2,8,0,1,1
196,250.1,250,1,2,1,2,2,#NULL!,0.384722222,1,0,1,0,0,1,0,2,1,4,0,1,0
201,255.1,255,2,2,1,1,1,0,3.888888889,0,0,0,1,0,1,0,2,2,8,0,1,1
204,258.1,258,1,2,1,1,1,0,2.222222222,1,0,1,0,0,1,0,2,1,4,0,1,0
205,259.1,259,2,1,1,1,NA,1,0.111805556,0,1,0,1,1,0,0,1,2,6,0,1,1
206,262.1,262,1,2,1,2,1,0,4.236111111,1,0,1,0,0,1,0,2,1,4,0,1,0
207,263.1,263,2,2,1,1,1,0,6.458333333,0,0,0,1,0,1,0,2,2,8,0,1,1
213,267.1,267,2,2,1,NA,NA,0,2.777777778,0,0,0,1,0,1,0,2,2,8,0,1,1
214,270.1,270,1,2,1,2,1,0,1.944444444,1,0,1,0,0,1,0,2,1,4,0,1,0
215,271.1,271,2,2,2,2,NA,#NULL!,0,0,0,0,1,0,1,0,2,2,8,0,1,1
229,279.1,279,2,2,2,2,NA,#NULL!,2.5,0,0,0,1,0,1,0,2,2,8,0,1,1
230,280.1,280,1,1,2,NA,NA,#NULL!,0,1,1,1,0,1,0,0,1,1,3,1,1,0
241,286.1,286,1,2,1,2,1,0,5.277777778,1,0,1,0,0,1,0,2,1,4,0,1,0
242,287.1,287,2,2,1,2,1,#NULL!,2.986111111,0,0,0,1,0,1,0,2,2,8,0,1,1
251,291.1,291,2,1,2,NA,NA,#NULL!,0,0,1,0,1,1,0,0,1,2,6,0,1,1
252,294.1,294,1,2,1,2,1,0,3.819444444,1,0,1,0,0,1,0,2,1,4,0,1,0
253,295.1,295,2,2,1,2,1,#NULL!,4.236111111,0,0,0,1,0,1,0,2,2,8,0,1,1
254,296.1,296,1,1,1,1,1,1,5.694444444,1,1,1,0,1,0,0,1,1,3,1,1,0
255,299.1,299,1,2,1,2,1,0,0.05,1,0,1,0,0,1,0,2,1,4,0,1,0
256,300.1,300,1,2,1,2,1,0,3.541666667,1,0,1,0,0,1,0,2,1,4,0,1,0
277,307.1,307,2,2,1,NA,NA,0,2.708333333,0,0,0,1,0,1,0,2,2,8,0,1,1
282,310.1,310,1,2,1,1,NA,0,2.361111111,1,0,1,0,0,1,0,2,1,4,0,1,0
292,315.1,315,1,1,1,1,1,0,4.236111111,1,1,1,0,1,0,0,1,1,3,1,1,0
312,323.1,323,1,1,1,1,1,0,3.130000000000,1,1,1,0,1,0,0,1,1,3,1,1,0
322,327.1,327,2,1,1,1,1,1,3.958333333,0,1,0,1,1,0,0,1,2,6,0,1,1
323,328.1,328,2,2,1,2,1,1,5.833333333,0,0,0,1,0,1,0,2,2,8,0,1,1
324,329.1,329,2,1,1,1,1,0,2.986111111,0,1,0,1,1,0,0,1,2,6,0,1,1
325,330.1,330,2,2,1,1,1,0,6.527777778,0,0,0,1,0,1,0,2,2,8,0,1,1